,NAME,GEO_ID,pop_est_ov16,pop_est_ov16_me,employed,employed_me,unemployed,unemployed_me,armed_forces,armed_forces_me,non_labor_force,non_labor_force_me,state,year
3,Montana,0400000US30,807917,609,481119,2914,35284,1257,3411,397,288103,2683,30,2014
4,Nebraska,0400000US31,1442692,925,957508,2956,54785,1584,4548,358,425851,2554,31,2014
5,Nevada,0400000US32,2175721,1168,1240614,5261,166167,3240,9143,808,759797,4628,32,2014
6,New Hampshire,0400000US33,1080795,742,693329,2970,48029,1533,1373,191,338064,2681,33,2014
7,New Jersey,0400000US34,7080181,1691,4235089,9776,453097,4670,6970,521,2385025,8738,34,2014
8,New Mexico,0400000US35,1625155,1034,875947,4722,93106,2157,8526,639,647576,4098,35,2014
9,New York,0400000US36,15832743,2848,9137540,14014,893092,7816,23816,1071,5778295,14598,36,2014
10,North Carolina,0400000US37,7717630,2017,4287690,11214,505668,5864,85760,2007,2838512,8858,37,2014
11,North Dakota,0400000US38,563755,586,379972,2025,12213,836,5065,371,166505,1903,38,2014
12,Ohio,0400000US39,9197668,2087,5303013,10434,536573,5152,8795,658,3349287,8679,39,2014
